date,source,region,province,price_vnd_per_kg,change_vnd_per_kg,source_url,benchmark_price_vnd_per_kg
05/03/2026,nongnghiepmoitruong.vn,Miền Trung - Tây Nguyên,Hà Tĩnh,63000,-2000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-5-3-2026-co-noi-mat-3000-dong-d799393.html,
05/03/2026,nongnghiepmoitruong.vn,Miền Trung - Tây Nguyên,Khánh Hòa,67000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-5-3-2026-co-noi-mat-3000-dong-d799393.html,
05/03/2026,nongnghiepmoitruong.vn,Miền Trung - Tây Nguyên,Lâm Đồng,69000,0.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-5-3-2026-co-noi-mat-3000-dong-d799393.html,
05/03/2026,nongnghiepmoitruong.vn,Miền Trung - Tây Nguyên,Nghệ An,64000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-5-3-2026-co-noi-mat-3000-dong-d799393.html,
05/03/2026,nongnghiepmoitruong.vn,Miền Trung - Tây Nguyên,Quảng Ngãi,67000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-5-3-2026-co-noi-mat-3000-dong-d799393.html,
05/03/2026,nongnghiepmoitruong.vn,Miền Trung - Tây Nguyên,Quảng Trị,67000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-5-3-2026-co-noi-mat-3000-dong-d799393.html,
05/03/2026,nongnghiepmoitruong.vn,Miền Trung - Tây Nguyên,Thanh Hóa,64000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-5-3-2026-co-noi-mat-3000-dong-d799393.html,
05/03/2026,nongnghiepmoitruong.vn,Miền Trung - Tây Nguyên,Đà Nẵng,67000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-5-3-2026-co-noi-mat-3000-dong-d799393.html,
05/03/2026,nongnghiepmoitruong.vn,Miền Trung - Tây Nguyên,Đắk Lắk,67000,0.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-5-3-2026-co-noi-mat-3000-dong-d799393.html,
06/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Bắc Ninh,64000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-6-3-2026-tiep-tuc-da-di-xuong-d799565.html,
06/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Cao Bằng,64000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-6-3-2026-tiep-tuc-da-di-xuong-d799565.html,
06/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Hà Nội,64000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-6-3-2026-tiep-tuc-da-di-xuong-d799565.html,
06/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Hưng Yên,64000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-6-3-2026-tiep-tuc-da-di-xuong-d799565.html,
06/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Hải Phòng,63000,-2000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-6-3-2026-tiep-tuc-da-di-xuong-d799565.html,
06/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Lai Châu,62000,-2000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-6-3-2026-tiep-tuc-da-di-xuong-d799565.html,
06/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Lào Cai,62000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-6-3-2026-tiep-tuc-da-di-xuong-d799565.html,
06/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Lạng Sơn,62000,-2000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-6-3-2026-tiep-tuc-da-di-xuong-d799565.html,
